Number	Source	Voice	Taunt
1			Yes.
2			No.
3			Food please.
4			Wood please.
5			Gold please.
6			Stone please.
7			Ahh!
8			All hail, king of the losers!
9			Ooh!
10			I'll beat you back to Age of Empires.
11			(Herb laugh)
12			Ah!being rushed.
13			Sure, blame it on your ISP.
14			Start the game already!
15			Don't point that thing at me!
16			Enemy sighted!
17			It is good to be the king.
18			Monk!I need a monk!
19			Long time, no siege.
20			My granny could scrap better than that.
21			Nice town, I'll take it.
22			Quit touching me!
23			Raiding party!
24			Dadgum.
25			Eh, smite me.
26			The wonder, the wonder, the...no!
27			You played two hours to die like this?
28			Yeah, well, you should see the other guy.
29			Roggan.
30			Wololo.
31			Attack an enemy now.
32			Cease creating extra villagers.
33			Create extra villagers.
34			Build a navy.
35			Stop building a navy.
36			Wait for my signal to attack.
37			Build a wonder.
38			Give me your extra resources.
39			(Ally sound)
40			(Enemy sound)
41			(Neutral sound)
42			What age are you in?
43			What is your strategy?
44			How many resources do you have?
45			Retreat now!
46			Flare the location of your army.
47			Attack in direction of the flared location.
48			I'm being attacked, please help!
49			Build a forward base at the flared location.
50			Build a fortification at the flared location.
51			Keep your army close to mine and fight with me.
52			Build a market at the flared location.
53			Rebuild your base at the flared location.
54			Build a wall between the two flared locations.
55			Build a wall around your town.
56			Train units which counter the enemy's army.
57			Stop training counter units.
58			Prepare to send me all your resources so I can vanquish our foes!
59			Stop sending me extra resources.
60			Prepare to train a large army, I will send you as many resources as I can spare.
61			Attack player 1!(Blue)
62			Attack player 2!(Red)
63			Attack player 3!(Green)
64			Attack player 4!(Yellow)
65			Attack player 5!(Teal)
66			Attack player 6!(Purple)
67			Attack player 7!(Gray)
68			Attack player 8!(Orange)
69			Delete the object on the flared location.
70			Delete your excess villagers.
71			Delete excess warships.
72			Focus on training infantry units.
73			Focus on training cavalry units.
74			Focus on training ranged units.
75			Focus on training warships.
76			Attack the enemy with Militia.
77			Attack the enemy with Archers.
78			Attack the enemy with Skirmishers.
79			Attack the enemy with a mix of Archers and Skirmishers.
80			Attack the enemy with Scout Cavalry.
81			Attack the enemy with Men-at-Arms.
82			Attack the enemy with Eagle Scouts.
83			Attack the enemy with Towers.
84			Attack the enemy with Crossbowmen.
85			Attack the enemy with Cavalry Archers.
86			Attack the enemy with Unique Units.
87			Attack the enemy with Knights.
88			Attack the enemy with Battle Elephants.
89			Attack the enemy with Scorpions.
90			Attack the enemy with Monks.
91			Attack the enemy with Monks and Mangonels.
92			Attack the enemy with Eagle Warriors.
93			Attack the enemy with Halberdiers and Rams.
94			Attack the enemy with Elite Eagle Warriors.
95			Attack the enemy with Arbalests.
96			Attack the enemy with Champions.
97			Attack the enemy with Galleys.
98			Attack the enemy with Fire Galleys.
99			Attack the enemy with Demolition Rafts.
100			Attack the enemy with War Galleys.
101			Attack the enemy with Fire Ships.
102			Attack the enemy with Unique Warships.
103			Use an Onager to cut down trees at the flared location.
104			Don't resign!
105			You can resign again.
106	Simpsons	Homer	Alright, That's The Last Straw, Time To Take Out The Trash
107	Simpsons	Homer	Boring
108	Simpsons	Homer	Computers Can Do That
109	Simpsons	Homer	Craaaaaaaaap
110	Simpsons	Homer	Damn You All To Hell!
111	Simpsons	Homer	Doh, Oh, Ok
112	Simpsons	Homer	Doh
113	Simpsons	Homer	Doheth
114	Simpsons	Homer	Hahaha, It's Funny Cause It's True
115	Simpsons	Homer	Hello, Operator, Give Me The Number For 911
116	Simpsons	Homer	Hello
117	Simpsons	Homer	I Have A Feeling Some Bad Stuff Is About To Go Down
118	Simpsons	Homer	I'll Bash You Good
119	Simpsons	Homer	Kiss My Curvy Butt Goodbye
120	Simpsons	Homer	Meow Meow Meow Meow
121	Simpsons	Homer	Oh Crap
122	Simpsons	Homer	Oooh, That's Bad
123	Simpsons	Homer	Shutup
124	Simpsons	Homer	Stop Pummeling Me! It's Really Painful!
125	Simpsons	Homer	To Start Press Any Key, Where's The Any Key
126	Simpsons	Homer	Why You Little
127	Simpsons	Homer	Won't You Let Me Live, Won't You Please
128	Simpsons	Homer	Woohoo
129	Simpsons	Homer	You Tried You Best, And You Failed Miserably
130	Simpsons	Homer	You're Living In A World Of Make Believe, With Flowers And Leprechauns
131	Simpsons	Apu	Thank You For Coming! I'll See You In Hell!
132	Simpsons	Apu	We're Putting That Bitch On Ice
133	Simpsons	Apu	Yes I'm Sorry, I Do Not Speak English, Ok
134	Simpsons	Mr. Burns	Yes, You're In Deep Doh Now
135	Simpsons	Mr. Burns	Excellent
136	Simpsons	Mr. Burns	Release The Hounds
137	Simpsons	Krusty	I Could Pull A Better Cartoon Outta My Aaaa
138	Simpsons	Krusty	Laugh
139	Simpsons	Bart	Eat My Shorts
140	Simpsons	Comic Book Guy	I Specifically Said, No Geeks
141	Simpsons	Grandpa	Oh No, We're All Doomed
142	Simpsons	Ned	Oh Indeedly Doodly
143	Simpsons	Nelson	Ha Ha
144			You Are Making Me So Angry
145			Stop Fighting Back, It's Not Fair
146			The Cavalry Should Be Coming Directly
147			Hey, We Didn't Do Nothin To You
148			You're Not Talkin To Me Are Ya
149			Woah Somebody Was Up Late
150			You Again Don't You Have A Life
151	LooneyToons	Bugs	I Better Get Out Of Here While The Getting's Good
152	LooneyToons	Bugs	A Guy Could Get Killed Out There, With All Them Guns Going Off
153	LooneyToons	Bugs	You Poor Little Man, Did I Hurt You With My Naughty Gun
154	LooneyToons	Bugs	Of Course You Know This Means War
155	LooneyToons	Bugs	What's Up Doc
156	LooneyToons	Bugs	Ain't You Got Nothin Better To Do
157	LooneyToons	Bugs	It'll Take Him All Day To Figure This One Out
158	LooneyToons	Bugs	Oh You Again
159	LooneyToons	Bugs	Yeeeeh Mr Wise Guy Now You're Gonna Get It
160	LooneyToons	Bugs	I Cannot Fight No More Against Such Genius
161	LooneyToons	Bugs	Just A Minute Partner. Them's Fighting Words
162	LooneyToons	Daffy	Watch It Buster
163	LooneyToons	Daffy	Mother Said There'd Be Days Like This
164	LooneyToons	Daffy	come on Now, Don't Be Bashful
165	LooneyToons	Daffy	My, Aren't We Touchy Today
166	LooneyToons	Daffy	Muahahaha
167	LooneyToons	Daffy	Fear Clutches My Breast
168	LooneyToons	Daffy	Hoho Very Funny Haha It Is To Laugh
169	LooneyToons	Daffy	I Hate You
170	LooneyToons	Daffy	Sakes Ya Think He Could Find Some Other Place To Put A Building
171	LooneyToons	Daffy	Oh, No Thanks Are Necessary My Good Man I Was Just Doing My Duty
172	LooneyToons	Daffy	Alright Rasneck Lets See Ya Try That Again
173	LooneyToons	Daffy	I Like Him He's Crazy
174	LooneyToons	Daffy	Hankering For Trouble Hey
175	LooneyToons	Daffy	You Wouldn't Dare
176	LooneyToons	Daffy	Look Just Give Me A Chance Can't Ya
177	LooneyToons	Daffy	Alright, Enough Is Enough, This Is It The Final, The Very Very Last Straw
178	LooneyToons	Daffy	I've Never Been So Humiliated In All My Life
179	LooneyToons	Daffy	Would It Be Too Much To Ask If We Could Make Up Our Minds
180	LooneyToons	Daffy	Okay, Have It YOUR Way
181	LooneyToons	Daffy	Hey, Psst, Whoever's In Charge Here
182	LooneyToons	Daffy	Quick, Quick, Save Me Pal
183	LooneyToons	Daffy	You're Dispicable
184	LooneyToons	Daffy	Heh, Didn't Think I Could Do It Did Ya
185	LooneyToons	Daffy	What's Going On Around Here
186	LooneyToons	Yosemite Sam	Come On, Quit Stalling!
187	LooneyToons	Yosemite Sam	Now Look It, I Say Look It Here
188	LooneyToons	Yosemite Sam	Running Away Won't Save Ya
189	LooneyToons	Elmer Fudd	There's Something Screwy Around Here
190	LooneyToons	Elmer Fudd	Be Vewy Vewy Quiet, I'm Hunting Wabbits!
191	LooneyToons	Granny	Oh Boy That Felt Good
192	LooneyToons	Marvin The Martian	You Have Made Me Very Angry, Very Angry Indeed
193	LooneyToons		Uh Oh, I Almost Made A Booboo
194	LooneyToons		Aye Come Here, I've Got Something Good For You, Come On Come On
195	LooneyToons		Little Man I've Had A Busy Day
196	Popeye		Well Blow Me Down
